,City,Cloudiness,Country,Date,Humidity,lat,lng,Max Temp,Wind Speed
87,ribeira grande,75,PT,1570027575,83,38.52,-28.7,295.15,12.9
88,yulara,75,AU,1570027662,10,-25.24,130.99,307.15,7.7
89,esperance,65,AU,1570027642,100,-33.86,121.89,286.15,2.1
90,saint george,20,GR,1570027476,48,39.45,22.34,302.15,4.6
91,muisne,75,EC,1570028013,78,0.61,-80.02,299.15,3.6
92,tazovskiy,98,RU,1570027435,95,67.47,78.7,276.183,4.54
93,salalah,40,OM,1570028015,78,17.01,54.1,301.15,4.6
94,okhotsk,28,RU,1570028015,52,59.36,143.24,272.783,6.85
95,chokurdakh,100,RU,1570028016,94,70.62,147.9,270.183,7.76
96,mitu,0,IR,1570028017,20,36.2,46.09,290.583,2.36
97,east london,0,ZA,1570028019,72,-33.02,27.91,293.15,7.2
98,henties bay,3,NA,1570028020,87,-22.12,14.28,290.37,2.68
99,guerrero negro,0,MX,1570027445,75,27.97,-114.04,291.983,3.92
100,marshalltown,90,US,1570027748,100,42.04,-92.91,288.15,2.6
101,dudinka,75,RU,1570028022,97,69.41,86.18,273.15,3.0
102,pinczow,100,PL,1570028023,69,50.52,20.53,290.93,2.68
103,taoudenni,47,ML,1570027786,4,22.68,-3.98,316.083,5.02
104,aquiraz,75,BR,1570028025,69,-3.9,-38.39,300.15,8.2
105,sohag,0,EG,1570028027,19,26.55,31.7,308.15,6.7
106,itarema,80,BR,1570027574,45,-2.92,-39.92,304.683,6.85
107,sunyani,42,GH,1570028029,67,7.34,-2.33,302.783,0.79
108,bosaso,0,SO,1570028030,73,11.28,49.18,303.283,4.09
109,upernavik,75,GL,1570028030,64,72.79,-56.15,275.383,4.66
110,cabedelo,75,BR,1570027622,62,-6.97,-34.84,302.15,6.2
111,ushirombo,78,TZ,1570028033,52,-3.47,31.9,299.983,1.87
112,kholtoson,96,RU,1570028034,92,50.3,103.31,269.983,1.26
113,thompson,5,CA,1570027466,92,55.74,-97.86,269.15,1.0
114,gat,40,SN,1570027678,62,14.69,-16.54,305.15,3.1
115,falmouth,20,GB,1570028036,54,50.16,-5.07,287.15,3.1
116,kaduqli,34,SD,1570028037,58,11.01,29.72,303.483,1.06
117,bahia blanca,0,AR,1570027895,36,-38.72,-62.27,287.083,5.2
118,dikson,3,RU,1570028039,80,73.51,80.55,270.383,8.8
119,brownsville,40,US,1570027995,78,25.91,-97.49,303.15,2.7
120,taseyevo,100,RU,1570028041,69,57.22,94.9,276.683,2.67
121,isangel,100,VU,1570028042,76,-19.55,169.27,295.283,9.99
122,alta floresta,20,BR,1570028043,88,-9.87,-56.08,298.15,3.1
123,novaya zaimka,31,RU,1570028044,62,56.49,66.92,280.783,5.67
124,provideniya,78,RU,1570028045,99,64.42,-173.23,275.783,4.28
125,talnakh,75,RU,1570028046,87,69.49,88.39,273.15,3.0
126,araouane,8,ML,1570027468,12,18.9,-3.53,313.283,1.66
127,sao joao del rei,0,BR,1570027864,34,-21.14,-44.26,301.683,2.62
128,mildura,24,AU,1570028050,16,-34.18,142.16,293.15,4.1
129,lavrentiya,100,RU,1570028051,97,65.58,-170.99,274.483,2.64
130,atuona,0,PF,1570027871,72,-9.8,-139.03,299.483,6.45
131,sao filipe,0,CV,1570027671,83,14.9,-24.5,299.283,4.88
132,yakima,1,US,1570027896,92,46.6,-120.51,274.26,1.5
133,madimba,75,CM,1570027523,70,4.42,9.93,303.15,2.1
134,sisak,20,HR,1570028056,53,45.49,16.38,297.15,6.7
135,abu dhabi,100,AE,1570027931,63,24.47,54.37,308.15,3.6
136,khatanga,0,RU,1570028058,81,71.98,102.47,267.583,3.27
137,blagoyevo,86,RU,1570028059,80,63.37,47.92,279.383,4.19
138,cayenne,75,GF,1570028060,58,4.94,-52.33,304.15,2.6
139,torbay,90,CA,1570028060,86,47.66,-52.73,279.82,1.0
140,marinette,90,US,1570028061,76,45.1,-87.63,284.82,5.1
141,morehead,1,US,1570028063,65,38.18,-83.43,302.15,2.6
142,sola,67,TZ,1570028064,48,-3.17,33.8,298.683,2.19
143,carnarvon,49,ZA,1570028065,9,-30.97,22.13,297.483,9.2
144,port keats,0,AU,1570028066,79,-14.25,129.55,298.483,2.16
145,bubaque,30,GW,1570028068,81,11.28,-15.83,300.683,5.77
146,boguchar,0,RU,1570028069,55,49.93,40.55,287.783,1.15
147,ust-nera,0,RU,1570028069,81,64.57,143.24,260.683,1.28
148,kenai,75,US,1570028071,93,60.55,-151.26,279.26,1.5
149,kloulklubed,75,PW,1570028073,94,7.04,134.26,297.15,2.67
150,brigantine,40,US,1570028074,69,39.41,-74.36,302.04,4.6
151,lagoa,0,PT,1570028076,60,37.14,-8.45,302.59,8.2
152,yumen,100,CN,1570027491,21,40.29,97.04,287.783,7.3
153,tarauaca,100,BR,1570027890,49,-8.16,-70.77,305.483,0.92
154,kaeo,0,NZ,1570027804,90,-35.1,173.78,283.71,3.63
155,port blair,90,IN,1570028079,71,11.67,92.75,301.283,1.72
156,vernon,90,CA,1570027817,93,50.27,-119.27,277.59,1.1
157,cherskiy,29,RU,1570028081,86,68.75,161.3,267.183,5.13
158,tabou,55,CI,1570028082,77,4.42,-7.36,300.183,4.25
159,sapozhok,53,RU,1570028083,48,53.94,40.68,289.26,1.79
160,urucara,100,BR,1570028083,32,-2.54,-57.76,309.483,2.25
161,rock springs,90,US,1570027934,100,41.59,-109.2,272.15,1.5
162,san jose,40,HN,1570027833,83,14.25,-87.96,296.15,0.75
163,macapa,40,BR,1570028086,59,0.05,-51.07,306.15,5.1
164,bonoua,40,CI,1570028087,79,5.27,-3.6,302.15,5.1
165,maragogi,7,BR,1570028088,54,-9.01,-35.22,302.183,5.37
166,douglas,75,US,1570027906,100,58.28,-134.39,282.59,1.85
167,tecoanapa,75,MX,1570027600,83,16.99,-99.26,300.15,1.5
168,fortuna,1,US,1570027501,100,40.6,-124.16,279.26,3.1
169,grand forks,90,US,1570027952,86,47.91,-97.06,279.15,4.6
170,tumpat,75,MY,1570028093,83,6.2,102.17,299.15,1.5
171,lorengau,88,PG,1570028094,83,-2.02,147.27,298.283,0.82
172,pevek,100,RU,1570028095,76,69.7,170.27,271.883,6.67
173,den helder,75,NL,1570028064,67,52.96,4.76,287.15,7.7
174,mar del plata,0,AR,1570027897,30,-46.43,-67.52,282.783,5.64
175,castro,40,CL,1570028097,70,-42.48,-73.76,281.15,2.1
176,sitka,100,US,1570028098,98,37.17,-99.65,292.59,2.68
177,monte alegre,62,BR,1570028100,33,-2.0,-54.07,309.883,2.74
178,komsomolskiy,100,RU,1570028101,96,67.55,63.78,279.883,8.33
179,biak,80,ID,1570028102,97,-0.91,122.88,288.983,1.69
180,kodiak,90,US,1570028103,93,39.95,-94.76,292.04,2.1
181,arlit,100,NE,1570027702,7,18.74,7.39,311.683,2.13
182,praya,75,ID,1570028104,83,-8.71,116.27,299.15,2.1
183,senador jose porfirio,29,BR,1570028105,51,-2.59,-51.95,305.483,0.78
184,garissa,23,KE,1570028107,30,-0.46,39.64,307.283,6.08
185,issoire,90,FR,1570028107,63,45.54,3.25,291.15,5.1
186,poya,58,NC,1570028108,74,-21.35,165.16,292.983,5.9
187,constitucion,40,MX,1570028109,100,23.99,-104.67,291.48,1.26
188,chajul,97,GT,1570028110,76,15.48,-91.04,286.683,0.61
189,victoria,75,BN,1570027985,88,5.28,115.24,299.15,0.42
190,yurga,9,RU,1570028113,82,55.71,84.93,277.883,4.15
191,minas,90,UY,1570028114,93,-34.38,-55.24,285.15,10.3
192,kampot,20,KH,1570028115,94,10.62,104.18,300.15,0.5
193,tateyama,100,JP,1570028116,66,36.66,137.31,298.15,0.45
194,tuam,90,IE,1570028117,66,53.52,-8.85,286.48,1.0
195,sao joao da barra,0,BR,1570028118,44,-21.64,-41.05,300.15,4.1
196,shubarshi,100,KZ,1570028119,38,48.59,57.19,285.583,4.3
197,kahului,40,US,1570027641,78,20.89,-156.47,298.15,3.6
198,lidkoping,90,SE,1570028120,100,58.51,13.16,281.48,3.6
199,yuncheng,100,CN,1570028121,46,35.03,111.0,296.683,2.95
200,takaungu,20,KE,1570028122,78,-3.68,39.86,301.15,5.1
201,rurrenabaque,75,BO,1570028123,78,-14.44,-67.53,302.15,2.1
202,tabas,24,IR,1570028124,15,33.6,56.92,306.15,3.1
203,touros,90,BR,1570028125,94,-5.2,-35.46,297.15,3.1
204,launceston,13,AU,1570028126,93,-41.43,147.14,282.59,3.1
205,lahan,12,NP,1570028128,90,26.71,86.48,296.083,1.04
206,kjollefjord,75,NO,1570028129,69,70.95,27.35,277.15,8.7
207,waddan,0,LY,1570027652,10,29.16,16.14,309.483,6.81
208,tiksi,100,RU,1570028131,92,71.64,128.87,270.683,9.83
209,komaki,75,JP,1570028132,78,35.31,136.93,298.15,4.1
210,yar-sale,100,RU,1570027609,95,66.83,70.83,279.883,7.67
211,faanui,52,PF,1570027586,74,-16.48,-151.75,297.783,8.57
212,ocher,100,RU,1570028135,95,57.89,54.72,283.783,3.82
213,salinopolis,16,BR,1570028135,78,-0.61,-47.36,300.683,8.71
214,nogliki,100,RU,1570028137,95,51.8,143.14,276.783,8.41
215,hambantota,0,LK,1570028138,100,6.12,81.12,299.15,1.5
216,naze,100,NG,1570028139,90,5.43,7.07,297.683,3.44
217,maturin,55,VE,1570028140,64,9.75,-63.18,301.583,2.59
218,khandyga,8,RU,1570028141,76,62.65,135.58,268.383,2.4
219,touho,59,NC,1570028142,88,-20.78,165.23,287.783,1.17
220,atar,0,MR,1570028143,6,20.52,-13.05,316.983,8.87
221,te anau,100,NZ,1570028144,77,-45.41,167.72,275.383,0.51
222,caravelas,0,BR,1570028145,55,-17.73,-39.27,297.283,3.54
223,nanortalik,29,GL,1570027733,58,60.14,-45.24,281.083,2.02
224,iqaluit,40,CA,1570028040,74,63.75,-68.52,276.15,6.2
225,tuatapere,100,NZ,1570028149,82,-46.13,167.69,279.26,1.34
226,faribault,90,US,1570028150,87,44.3,-93.27,284.26,5.1
227,tura,100,RU,1570028151,93,64.27,100.22,272.883,2.98
228,teknaf,90,BD,1570028152,74,20.86,92.31,301.883,3.14
229,santa barbara,1,US,1570028153,81,34.42,-119.7,287.15,1.68
230,sisimiut,99,GL,1570028154,74,66.94,-53.67,277.283,2.11
231,raudeberg,20,NO,1570028154,54,61.99,5.14,287.15,4.6
232,puksoozero,100,RU,1570028155,96,62.59,40.61,278.983,1.9
233,flinders,0,AU,1570028156,76,-34.58,150.85,290.37,1.5
234,eunice,1,US,1570028157,78,30.49,-92.42,302.59,1.5
235,novobiryusinskiy,100,RU,1570028159,73,56.96,97.71,274.783,2.6
236,anadyr,20,RU,1570028161,86,64.73,177.51,272.15,7.0
237,swellendam,100,ZA,1570028162,35,-34.02,20.44,295.15,6.7
238,fairbanks,90,US,1570028163,100,64.84,-147.72,277.15,2.6
239,loei,0,TH,1570028164,89,17.49,101.72,295.183,1.52
240,vilani,88,LV,1570028164,76,56.55,26.92,283.483,0.84
241,marawi,99,PH,1570028165,88,8.0,124.29,297.59,2.24
242,narsaq,75,GL,1570028166,32,60.91,-46.05,285.15,16.5
243,berlevag,75,NO,1570028167,74,70.86,29.09,277.15,8.2
244,kutum,73,SD,1570027731,22,14.2,24.66,303.983,8.2
245,jiupu,0,CN,1570028169,66,41.07,122.95,290.683,0.89
246,saint-pierre,75,FR,1570028170,62,48.95,4.24,289.15,6.2
247,ostrovnoy,97,RU,1570028171,70,68.05,39.51,275.183,9.93
248,faya,40,SA,1570027619,60,18.39,42.45,298.15,5.1
249,chongwe,100,ZM,1570028172,60,-15.33,28.68,295.783,1.05
250,san rafael,54,AR,1570028173,22,-34.61,-68.33,285.683,4.77
251,pahrump,1,US,1570028174,27,36.21,-115.98,289.26,2.1
252,nome,90,US,1570028175,94,30.04,-94.42,301.48,3.1
253,tahe,18,CN,1570028177,65,52.34,124.71,271.183,1.95
254,tampakan,80,PH,1570028178,91,6.44,124.93,293.983,0.08
255,kavaratti,13,IN,1570028179,71,10.57,72.64,301.383,2.61
256,otukpo,100,NG,1570028180,68,7.19,8.13,301.783,1.99
257,grindavik,75,IS,1570028181,70,63.84,-22.43,281.15,8.7
258,bathsheba,40,BB,1570028182,62,13.22,-59.52,304.15,7.2
259,kirgiz-miyaki,100,RU,1570028183,64,53.63,54.8,283.483,6.5
260,belmonte,73,PT,1570027778,40,40.36,-7.35,299.26,1.34
261,mackay,75,CA,1570028184,86,53.65,-115.58,277.15,1.5
262,maniwaki,84,CA,1570028185,69,46.38,-75.98,279.883,4.83
263,beyneu,66,KZ,1570028186,28,45.32,55.19,290.483,5.25
264,barcelos,22,BR,1570028187,48,-0.97,-62.93,306.383,3.09
265,ilulissat,75,GL,1570027692,29,69.22,-51.1,283.15,8.2
266,eluru,75,IN,1570028189,78,16.71,81.12,301.15,2.6
267,atbasar,11,KZ,1570028190,38,51.81,68.36,280.383,2.0
268,cabo san lucas,40,MX,1570028158,88,22.89,-109.91,298.71,2.5
269,ambilobe,82,MG,1570028191,56,-13.19,49.05,300.783,2.83
270,robertsport,51,LR,1570028193,73,6.75,-11.37,300.783,4.8
271,san cristobal,71,HN,1570028194,72,14.68,-86.92,296.983,1.41
272,emerald,0,AU,1570027615,68,-23.53,148.16,293.15,4.6
273,nola,100,CF,1570028196,73,3.52,16.05,300.383,1.31
274,kapit,100,MY,1570028197,99,2.02,112.94,295.583,0.87
275,miri,68,NG,1570028198,40,10.31,9.75,305.383,1.31
276,chimbote,100,PE,1570028199,92,-9.08,-78.59,289.383,4.37
277,khani,0,GE,1570028200,50,41.96,42.96,299.15,3.1
278,tala,40,MX,1570028201,93,20.65,-103.7,294.26,1.5
279,zeya,0,RU,1570028202,64,53.74,127.27,270.383,2.96
280,cap malheureux,75,MU,1570028204,83,-19.98,57.61,297.15,3.6
281,mbini,90,GQ,1570028205,100,1.58,9.62,296.15,3.6
282,brae,75,GB,1570028206,93,60.4,-1.35,283.15,6.7
283,hamilton,90,CA,1570027374,100,43.26,-79.87,290.93,4.6
284,luang prabang,0,LA,1570028207,90,19.89,102.14,294.483,0.86
285,ampanihy,100,MG,1570028208,77,-24.69,44.75,294.283,7.3
286,klaksvik,75,FO,1570028209,70,62.23,-6.59,282.15,5.1
287,tamandare,100,BR,1570028210,53,-8.28,-70.75,303.783,1.3
288,plettenberg bay,79,ZA,1570028211,28,-34.05,23.37,297.983,3.73
289,buraydah,0,SA,1570028212,20,26.33,43.97,312.15,1.0
290,la primavera,0,AR,1570028213,24,-32.92,-68.67,286.15,4.1
291,geraldton,90,CA,1570027732,86,49.72,-86.95,274.15,3.1
292,muros,75,ES,1570028215,68,42.77,-9.06,294.26,3.1
293,qaqortoq,75,GL,1570027756,32,60.72,-46.03,285.15,16.5
294,djambala,98,CG,1570028216,69,-2.55,14.76,299.383,2.41
295,shu,0,KZ,1570028217,32,43.6,73.76,285.783,3.1
296,langsa,100,ID,1570028218,94,4.47,97.97,293.583,0.76
297,voznesenye,67,RU,1570028219,86,61.02,35.48,280.083,2.99
298,road town,40,VG,1570028101,70,18.42,-64.62,304.82,2.6
299,shelburne,90,CA,1570027999,100,44.08,-80.2,288.71,4.1
300,saint-denis,40,FR,1570028222,51,48.94,2.36,290.15,4.6
301,sibu,75,MY,1570028224,94,2.29,111.83,299.15,1.0
302,kaitangata,98,NZ,1570028225,79,-46.28,169.85,278.15,1.79
303,bolgatanga,78,GH,1570028226,58,10.79,-0.85,304.083,2.18
304,coahuayana,100,MX,1570027735,94,18.62,-100.35,294.683,0.52
305,wanning,75,AT,1570028228,77,48.64,13.53,289.26,5.1
306,sorong,82,ID,1570028229,95,-0.86,131.25,296.483,1.19
307,haverfordwest,40,GB,1570028230,54,51.8,-4.97,287.59,4.1
308,san jose de guanipa,77,VE,1570028231,57,8.89,-64.17,303.583,5.83
309,pacific grove,1,US,1570027704,61,36.62,-121.92,284.82,4.1
310,puerto madryn,0,AR,1570028233,19,-42.77,-65.04,285.483,2.82
311,san fernando,20,TT,1570028234,74,10.28,-61.46,303.71,4.6
312,lima,90,PE,1570028059,88,-12.06,-77.04,291.15,2.1
313,charleston,1,US,1570028174,66,32.79,-79.94,303.15,2.1
314,teteven,40,BG,1570028236,27,42.92,24.26,304.15,2.1
315,newport,40,GB,1570028237,58,51.59,-3.0,288.71,3.6
316,nantucket,90,US,1570027994,88,41.28,-70.1,299.15,6.2
317,palmer,75,AU,1570028241,93,-34.85,139.16,288.15,1.5
318,san quintin,100,PH,1570028242,90,17.54,120.52,297.383,1.09
319,tuktoyaktuk,90,CA,1570028243,93,69.44,-133.03,276.15,1.0
320,russell,90,US,1570028244,93,38.9,-98.86,286.48,4.6
321,goderich,100,CA,1570028245,94,43.74,-81.71,288.71,3.13
322,cayambe,75,EC,1570028246,72,0.04,-78.14,290.15,1.5
323,verkh-usugli,0,RU,1570028247,57,52.7,115.17,270.483,0.99
324,sassandra,53,CI,1570028248,72,4.95,-6.09,300.783,4.16
325,belem de sao francisco,8,BR,1570028249,34,-8.75,-38.97,305.383,5.48
326,solnechnyy,100,RU,1570027717,95,50.72,136.64,276.183,3.33
327,leogane,20,HT,1570028251,74,18.51,-72.63,303.15,3.1
